longitude,latitude,time,
-90.129265,38.85741369,2025-02-25 11:40:00,
-90.1292326,38.85742242,2025-02-25 11:42:00,
-90.1292785,38.85744973,2025-02-25 11:43:00,
-90.12931391,38.85743482,2025-02-25 11:49:00,
-90.12943208,38.85754231,2025-02-25 11:50:00,
-90.12938377,38.85742187,2025-02-25 11:52:00,
-90.12953073,38.85746201,2025-02-25 11:54:00,
-90.12956041,38.85752202,2025-02-25 11:56:00,
-90.12950808,38.85753029,2025-02-25 11:58:00,
-90.12949178,38.85750171,2025-02-25 12:01:00,
-90.12947865,38.85749074,2025-02-25 12:02:00,
-90.12950083,38.85750603,2025-02-25 12:04:00,
-90.12947967,38.85747436,2025-02-25 12:06:00,
-90.12951102,38.8575235,2025-02-25 12:07:00,
-90.12950271,38.85753519,2025-02-25 12:08:00,
-90.1293634,38.85741754,2025-02-25 12:09:00,
-90.12953505,38.85754199,2025-02-25 12:10:00,
-90.12950741,38.85752605,2025-02-25 12:11:00,
-90.12952699,38.85755448,2025-02-25 12:13:00,
-90.12952233,38.85753163,2025-02-25 12:14:00,
-90.129518,38.85754769,2025-02-25 12:16:00,
-90.12953889,38.85754209,2025-02-25 12:21:00,
-90.12953547,38.85756221,2025-02-25 12:22:00,
-90.12949269,38.85753751,2025-02-25 12:23:00,
-90.12955519,38.85759679,2025-02-25 12:29:00,
-90.12961983,38.85763883,2025-02-25 12:33:00,
-90.1295999,38.85761187,2025-02-25 12:33:00,
-90.12958756,38.85760692,2025-02-25 12:35:00,
-90.12967019,38.85755775,2025-02-25 12:40:00,
-90.12954123,38.85749185,2025-02-25 12:42:00,
-90.12984303,38.85766668,2025-02-25 12:54:00,
-90.12969695,38.85750637,2025-02-25 12:57:00,
-90.12984104,38.85760879,2025-02-25 13:02:00,
-90.12973041,38.85754428,2025-02-25 13:05:00,
-90.12978095,38.85762404,2025-02-25 13:07:00,
-90.12983661,38.85762899,2025-02-25 13:09:00,
-90.12968453,38.85749318,2025-02-25 13:15:00,
-90.12975645,38.85757332,2025-02-25 13:16:00,
-90.12977169,38.85757818,2025-02-25 13:18:00,
-90.12966964,38.85748936,2025-02-25 13:19:00,
-90.12967757,38.85752616,2025-02-25 13:20:00,
-90.12976257,38.8575477,2025-02-25 13:20:00,
-90.12978838,38.85759279,2025-02-25 13:22:00,
-90.12976923,38.85757393,2025-02-25 13:24:00,
-90.12971846,38.85754497,2025-02-25 13:24:00,
-90.12966047,38.85751795,2025-02-25 13:25:00,
-90.12973988,38.85757036,2025-02-25 13:37:00,
-90.12966989,38.85748245,2025-02-25 13:41:00,
-90.12961577,38.8574561,2025-02-25 13:42:00,
-90.12965189,38.85749001,2025-02-25 13:44:00,
-90.12972961,38.85753538,2025-02-25 13:47:00,
-90.12966236,38.8574924,2025-02-25 13:49:00,
-90.12970311,38.85753757,2025-02-25 13:51:00,
-90.12970068,38.85753222,2025-02-25 13:55:00,
-90.1297263,38.85754871,2025-02-25 14:00:00,
-90.12977556,38.85756153,2025-02-25 14:07:00,
-90.12986633,38.8576328,2025-02-25 14:09:00,
-90.12973623,38.8575237,2025-02-25 14:12:00,
-90.12976109,38.85753442,2025-02-25 14:13:00,
-90.12975479,38.85754021,2025-02-25 14:14:00,
-90.12986907,38.85760998,2025-02-25 14:14:00,
-90.12983484,38.85760497,2025-02-25 14:17:00,
-90.12955483,38.85743049,2025-02-25 14:28:00,
-90.12973841,38.85754276,2025-02-25 14:30:00,
-90.1298459,38.85762438,2025-02-25 14:31:00,
-90.12975435,38.85754141,2025-02-25 14:33:00,
-90.12982502,38.85760265,2025-02-25 14:36:00,
-90.12987403,38.85764084,2025-02-25 14:37:00,
-90.12982365,38.8576129,2025-02-25 14:38:00,
-90.12986921,38.85768985,2025-02-25 14:41:00,
-90.12992266,38.85763452,2025-02-25 14:43:00,
-90.12997622,38.85766561,2025-02-25 14:45:00,
-90.12995177,38.85762185,2025-02-25 14:47:00,
-90.129952,38.85763723,2025-02-25 14:49:00,
-90.1299766,38.85765169,2025-02-25 14:52:00,
-90.12995557,38.85763769,2025-02-25 14:53:00,
-90.12996602,38.85763026,2025-02-25 14:54:00,
-90.12992718,38.85760472,2025-02-25 14:55:00,
-90.129965,38.85764505,2025-02-25 14:56:00,
-90.12999231,38.85766978,2025-02-25 14:58:00,
-90.13006286,38.85770896,2025-02-25 15:02:00,
-90.13007733,38.85767573,2025-02-25 15:04:00,
-90.13007834,38.85769391,2025-02-25 15:06:00,
-90.13010669,38.85772613,2025-02-25 15:07:00,
-90.1300684,38.85767451,2025-02-25 15:09:00,
-90.13011292,38.85770821,2025-02-25 15:10:00,
-90.13008047,38.85768298,2025-02-25 15:10:00,
-90.13007544,38.8576914,2025-02-25 15:13:00,
-90.13007654,38.85769616,2025-02-25 15:13:00,
-90.13011749,38.85772825,2025-02-25 15:14:00,
-90.13010407,38.85767767,2025-02-25 15:17:00,
-90.13008739,38.85765758,2025-02-25 15:19:00,
-90.13009463,38.85765688,2025-02-25 15:20:00,
-90.1301071,38.85768265,2025-02-25 15:21:00,
-90.13011042,38.85767606,2025-02-25 15:21:00,
-90.13010442,38.85767829,2025-02-25 15:22:00,
-90.13008588,38.8576419,2025-02-25 15:24:00,
-90.13033598,38.85765157,2025-02-25 15:39:00,
-90.13028013,38.85763018,2025-02-25 15:41:00,
-90.13032926,38.85767197,2025-02-25 15:44:00,
-90.13033545,38.85769172,2025-02-25 15:45:00,
-90.13021001,38.85777846,2025-02-25 15:49:00,
-90.13025791,38.85785909,2025-02-25 15:50:00,
-90.12999183,38.85776652,2025-02-25 16:08:00,
-90.13005932,38.85780106,2025-02-25 16:11:00,
-90.1300755,38.85780865,2025-02-25 16:13:00,
-90.13018335,38.85775108,2025-02-25 16:18:00,
-90.13024741,38.85778065,2025-02-25 16:21:00,
-90.13024816,38.85773557,2025-02-25 16:22:00,
-90.13028822,38.85778472,2025-02-25 16:25:00,
-90.13025929,38.8577297,2025-02-25 16:25:00,
